title,bedrooms,price,post_time,location
Upper East Side 1 bed 1 bath between 2nd and 3rd UES MOVE IN ASAP,1,2775.0,within 1h ago,other
"Shared Yard with 1St Fl Only, Amazing 3 Bed ALL NEW Prime in Bushwick",3,3600.0,within 1h ago,buschwick
**NO FEE** LUXURY 3 BED/2 BATH W/D in UNIT STEPS FROM 4/5 EXPRS TRAINS,3,3677.0,1h ago,other
***NO FEE*** LUXURY 1 BEDROOM STEPS FROM THE 4 & 5 EXPRESS TRAINS,1,2375.0,1h ago,other
"Houston & Bowery:  No-Fee 1-Bedroom w washer & dryer, dishwasher",1,4295.0,1h ago,other
"Houston & Bowery:  No-Fee 1-Bedroom w washer & dryer, dishwasher",1,4295.0,1h ago,other
10 MINS TO TIMES SQ! W/ NYC SKYLINE & WATER VIEWS,2,2699.0,1h ago,other
1 Bedroom w/ Laundry & Elevator in Bldg & Hardwood Floors,1,2100.0,1h ago,other
No Fee 3 bed/2 bath Garden Duplex in Crown Heights,3,3250.0,1h ago,brooklyn
"3 Bedroom W/ Granite Countertops, Tile Backsplash, Skylight",3,2800.0,1h ago,other
"Gut Renovated, Spacious, sunlit 2 Bedroom Apartment available in Ditma",2,2375.0,1h ago,other
No Fee * Renovated 1 Bed 1 Bath in Astoria *Elevator & Laundry in Buil,1,2645.0,1h ago,other
2M-Free! Sunny 2BR/1BA in prime PLG near Prospect Park!,2,3300.0,1h ago,other
Large 2Bed w/WD in the Heart of Park Slope! 1 month free on 16M Lease,2,3850.0,1h ago,other
Large 2 Bedroom facing Prospect Park! Steps to the Q Train!,2,2750.0,1h ago,other
Beautiful 5Br/ 2Bath / washer and dryer in unit/ no fee,5,4300.0,1h ago,brooklyn
"4 BedroomW/ Washer/Dryer, Dishwasher, Central Air, & Balcony",4,3250.0,2h ago,other
Wonderful 1 bed / 1 bath in prime location! Close to everything!,1,2080.0,2h ago,other
Large 3 Bedroom BOX layout with private patio!,3,3700.0,2h ago,other
**STUNNING LUXURY 2 BED/ 2 BATH APT IN EAST WILLIAMSBURG*NO FEE**,2,3200.0,2h ago,other
"West 50th & Ninth:  No-Fee 4-bedroom 2-bath w Roofdeck, washer & dryer",4,7495.0,2h ago,other
$4800 - Pretty 2 Bedroom apartment near the heart of East Village,2,4800.0,2h ago,other
"No Fee, Rent Stabilized, 3 Bed, Great Amenities, 3/4/5 Trains",3,3775.0,2h ago,crown heights
"Dazzling Duplex Cathedral Ceiling, Balcny, 10 Min NYC L , Avail 3/1",2,4999.0,2h ago,other
* LARGE AND SUNNY APARTMENT * CENTRAL A/C AND HEAT * MUST SEE *,2,2500.0,2h ago,crown heights
"Huge 3 Bed-steps to Prospect Park-Dish-D,N,R,W trains-nofee",3,3645.0,2h ago,other
HUGE & SUNNY 2 bed/1.5 Bath apartment with W/D in Unit in Bedstuy!,2,3400.0,2h ago,brooklyn
Enormous one bedroom with storage!,1,2199.0,2h ago,other
"1bed, beautiful furnished sublet in Bushwick available now!!",1,3000.0,2h ago,buschwick
2 Bed-New Amenities-Elevator/Washer-n-unit-Balcony-Roof/nofee,2,4800.0,2h ago,other
$727__Wall Street__near Ferry__Empire Outlets_St George__Saint George,1,727.0,2h ago,other
**BRAND NEW LUXURY 1 BED/ 1 BATH IN EAST WILLIAMSBURG**,1,2995.0,2h ago,other
*AMAZING* SUNNY 3 BED 1.5 BATH WITH W/D IN UNIT IN PRIME BUSHWICK!,3,3300.0,2h ago,buschwick
^*Stunning & Huge 2BR 2 Full Bath APT In Sheepshead Bay*^  Must See!,2,3400.0,2h ago,other
4 Bed/2 Bath/in Amenities-converted school-AC/GYM/ROOF/Courtyard/nofee,4,5600.0,2h ago,other
3BR For rent! citypheps accepted!,3,3150.0,2h ago,other
*AMAZING DEAL* 2 WEEKS FREE! DUPLEX IN WILLIAMSBURG! WITH W/D IN UNIT!,3,4646.0,2h ago,other
AWESOME 3 BED 2 BATH DUPLEX IN A LUXURY BUILDING! *GYM* *LAUNDRY*,3,3600.0,2h ago,other
3 Bed/2 Bath/in Amenities-converted school-AC/GYM/ROOF/Courtyard/nofee,3,5000.0,2h ago,other
AMAZING Williamsburg Duplex with W/D in unit!,3,4646.0,2h ago,brooklyn
"East 18th & First:  No-Fee 3-bedroom w washer & dryer, dishwasher",3,6195.0,2h ago,other
HUDSON YARD_AFFORDABLE_1 BR_RARE FIND,1,2450.0,2h ago,other
"Modern One Bedroom, Half a Block to Subway, NO FEES",1,1585.0,2h ago,other
"Houston & Bowery:  No-Fee 1-Bedroom w washer & dryer, dishwasher",1,3995.0,2h ago,other
* MODERN APARTMENT * PRIVATE BALCONY * CENTRAL A/C AND HEAT * MUST SEE,2,3200.0,2h ago,other
2 Bedroom in Astoria,2,2800.0,2h ago,other
BARGAIN_2BR_MIDTOWN WEST_PERFECT FOR SHARING,2,2995.0,2h ago,other
"East 9th & First:  No-Fee 3-bedroom w washer & dryer, dishwasher",3,5495.0,2h ago,other
Massive 3 bed**heart of Woodside** eat-in kitchen** 5 minutes to LIRR,3,2899.0,2h ago,other
Massive 1 bedroom in Prime Bedstuy steps from Von King Park - NO FEE!,1,2549.0,2h ago,bed stuy
20-37 49th street,1,1850.0,2h ago,other
"No Fee, CLASSIC RARE FIND LOFT 1BED, 1 BATH",1,2950.0,2h ago,buschwick
44TH STREET AND 43RD AVE ONE BEDROOM NEAR #7 TRAIN,1,1775.0,2h ago,other
Stunning brand new 3br2ba (Flex 4br) W/D+dishwasher heart of Kips Bay!,4,6220.0,2h ago,other
"4th & B:  No-Fee 1-bedroom w washer & dryer, dishwasher",1,3295.0,3h ago,other
50TH AVE & 44TH STREET GORGEOUS 2 BEDROOM AVAILABLE NEAR TRAINS,2,2450.0,3h ago,other
No Fee2BR Apartment in Ditmas Park - Brooklyn College Kensington slope,2,2350.0,3h ago,other
Charming pre-war**spacious 3 bed**laundry in building**heat/water incl,3,2995.0,3h ago,other
Spacious 2br With Laundry Near Myrtle-Broadway,2,3100.0,3h ago,buschwick
**GORGEOUS SUNNY 2 BED/ 1 BATH IN CROWN HEIGHTS*NEAR PROSPECT PARK**,2,3200.0,3h ago,crown heights
"2 yrs old NEW studio for rent w/ new appliances, own bathroom+kitchen",1,1100.0,3h ago,other
SPACIOUS 2 BDRM DUPLEX + BACKYARD IN CLINTON HILL****ASAP MOVE IN,2,2995.0,3h ago,other
"conveniently located, perfectly designed!",1,2700.0,3h ago,financial district
"conveniently located, perfectly designed!",2,3000.0,3h ago,financial district
SUPER BRIGHT 3 BEDROOM IN PRIME CROWNHEIGHTS,3,2750.0,3h ago,crown heights
Beautiful Sun Drenched 1 Bed + Home Office 1 Bath  *Springfield Garden,1,2295.0,3h ago,other
- 2nd floor apartment,2,1950.0,3h ago,other
"$2,25o 2Bed 1Bath CONDO (Corner Unit) w/VIEWS+Rooftop+Elevator+Laundry",2,2.0,3h ago,other
XL 3 Bedroom 1 Bathroom Apartment w/ Separate Kitchen + BONUS Room,3,3000.0,3h ago,other
"30TH AVE & 27TH STREET, AMAZING 2 BEDROOM AVAILABLE NEAR TRAINS",2,2600.0,3h ago,other
Heat/Water/Gas included**Prime Astoria Location**City Views,1,2495.0,3h ago,other
2 Bedroom on 44th street!,2,2395.0,3h ago,other
Large Three Bedroom apartment,3,3188.0,3h ago,other
*LARGE AND SUNNY APARTMENT * CENTRAL A/C & HEAT * NO BROKER FEE *,1,2400.0,3h ago,bed stuy
STUNNING 2 BED IN NEW LUXURY BUILDING! PRIVATE BALCONY!,1,2500.0,3h ago,other
Heat/Water Included**Prime Astoria location**Upated one bedroom**Steps,2,2650.0,3h ago,other
2 Bedroom Newly Renovated pet friendly & parking.,2,2395.0,3h ago,other
STUNNING 2 BED IN NEW LUXURY BUILDING!,2,3050.0,3h ago,other
Stunning 1 bedroom/ 1 bath Unit with Gorgeous Brooklyn Views. Availabl,1,2872.0,4h ago,other
Large 3 Bedroom centrally located by two major parks,3,3450.0,4h ago,other
LARGE 3 BED | 1.5 BATH | DOORMAN,3,3750.0,4h ago,other
1bedroom ample closet space W/D in unit.,1,3208.0,4h ago,other
2 Bed / 1.5 Bath Park Slope/Gowanus Just a few min from Whole Food,2,4650.0,4h ago,other
LARGE 2 BED | 1 BATH | DOORMAN,2,3250.0,4h ago,other
"All Amenities Building 2 Bed, Flex 3 beds, 1 Bath, No Fee",2,3500.0,4h ago,buschwick
BRAND NEW 1 BED WITH PRIVATE YARD!,2,3295.0,4h ago,other
ENTIRE HOME - 2 Bed | 1.5 Bath,2,5500.0,4h ago,other
"Large renovated 2-bedroom, (BB) Howard Beach",2,2100.0,4h ago,other
BRAND NEW SPACIOUS ROOM IN PRIME WILLIAMSUBURG,3,1600.0,4h ago,other
Beautiful 3 bed 2 bath avail. 3/1,3,3120.0,4h ago,other
MASSIVE 3 BED ON PROSPECT PARK!!,3,2815.0,4h ago,other
Basic 1 bedroom . Nice area .,1,1850.0,4h ago,other
Bridgeview Luxury Residences---Penthouse 1Bed For Rent,1,3300.0,4h ago,other
----MASSIVE LUX 1 BED-----PRIME ASTORIA----ROOF DECK----LAUNDRY,1,3100.0,4h ago,other
Fabulous 3 Bed /2 Bath Apartment in Bushwick!,3,3000.0,4h ago,buschwick
"100 John street, Available Studio/ Home Office FLEX 2 or 3 Bedroom",3,3743.0,4h ago,financial district
"100 John Street, No Brokers Fee, 2 Months Free Rent",1,4442.0,4h ago,financial district
NO FEE Luxury Spacious 1 Bed w/ Bright & Massive Living Space in FiDi!,1,4154.0,4h ago,financial district
Spacious One Bedroom Flex 2 or 3 bedroom / One Bath features North exp,1,5271.0,4h ago,financial district
*LARGE AND SUNNY APARTMENT *RENT STABILIZED *HEAT & HOT WATER INCLUDED,1,1897.0,4h ago,other
"Luxury 1 BR(800sf),$2078,Hardwd,W/D,Terr,Dwntwn",1,2078.0,5h ago,other
HUGE 4 bed 1 bath apt in Flatbush,4,3200.0,5h ago,other
Sunkissed 3 bed 1 bath apt in Gowanus March 1 move in,3,4400.0,5h ago,other
Spacious 2 bed 2 bath apt in Prime Bedstuy * 1 month free*,2,3400.0,5h ago,bed stuy
🔑Pack your bags and move right in to this 💎RAD 4BR / 2BA💎 No Fee!🔑,4,3600.0,5h ago,bed stuy
"1 Bed / 1 Bath Dishwasher, Elevator, Gym, Roof Deck, Laundry, Garage",1,2950.0,5h ago,other
"Huge 3 bed , prime williamsburg , open house today",3,3800.0,5h ago,other
Beautiful 3 bedroom semi box,3,2600.0,5h ago,other
Large 1 Bed/1 Bath w/ Private Balcony | 1 Block from J Train,1,2500.0,5h ago,bed stuy
"2Bed/1Bath - AC, Laundry, Roof Access, Dishwasher, Garage",2,3799.0,5h ago,buschwick
Large 1 Bed/1 Bath w/ Private Balcony | 1 Block from J Train,1,2500.0,5h ago,bed stuy
"4 Equal to Size Bedrooms, SKYLIGHTS, 5 Blocks from Dekalb L Train",4,3650.0,5h ago,other
1 bedroom apartment. NO FEE,1,2995.0,5h ago,other
"Luxury 1 BR(800sf),$2118,Hardwd,W/D,Terr,Dwntwn",1,2118.0,5h ago,other
**SPACIOUS CROWN HEIGHTS**2.5 BED/1 BATH**PRIVATE TERRACE**,2,2800.0,5h ago,crown heights
"1Bed/1Bath - AC, Laundry, Roof access, Dishwasher, Bike Storage",1,2741.0,5h ago,buschwick
One bedroom UES $2700,1,2700.0,5h ago,other
Fully renovated 3 bedroom in Glendale,3,2700.0,5h ago,other
2 bed 1 bath prime bushwick NO FEE,2,2900.0,5h ago,brooklyn
MASSIVE 2 BEDROOM IN CROWNHEIGHTS,2,2650.0,5h ago,crown heights
Brand new studio Prime bushwick NO FEE,1,2860.0,5h ago,brooklyn
Luxury Apartment in Flatbush,1,2495.0,5h ago,other
"Equal Sized 3 Bedroom, Massive Living Space, Dekalb L 3 Blocks away",3,3500.0,5h ago,buschwick
Luxury 1 Bed with Balcony & Open Kitchen in Downtown Brooklyn!,1,3950.0,5h ago,other
**DOWNTOWN BROOKLYN**3 BEDROOM/2 BATH**LAUNDRY**ROOF DECK,3,5750.0,5h ago,other
"No Fee 20-25 Minutes into the City, Large 3 Bed, Prime Buashwick",3,3400.0,5h ago,buschwick
4 bed 3 bath Massive duplex in Prim bushwick with private backyard !,4,5000.0,5h ago,brooklyn
"✨ PERFECT ""TRUE 2 BR."" 💁‍♀️🙆‍♂️ / + BALCONY / 📍LENOX HILL",2,3150.0,5h ago,other
SUPER BRIGHT 3 BEDROOM IN PRIME CROWNHEIGHTS,3,2750.0,5h ago,crown heights
Furnished One Bedroom Apartment,1,1600.0,5h ago,other
NEWLY RENOVATED LARGE 2 BEDROOM IN BUSHWICK WITH W/D IN UNIT !,2,2700.0,5h ago,buschwick
NO-FEE Modern 1 Bed with Granite Kitchen and Dishwasher in Kips Bay!,1,3925.0,6h ago,other
"Prime Bushwick,  3 Bedroom Sun Drenched Bedrooms",3,3500.0,6h ago,buschwick
3 Bed /1 Bath Apartment in Excellent Location!,3,3100.0,6h ago,crown heights
🌟Gorgeous Crown Heights 1 Bed! Chipotle down the street! $2300,1,2300.0,6h ago,crown heights
1.5 bath Dekalb L Seneca M (NO FEE),3,3675.0,6h ago,other
🌟 Brand New 2 Bed unit by Brooklyn College! Laundry in-Unit! $2500,2,2500.0,6h ago,other
🌟 Bright Crown Heights 3 Bedroom Apartment! $2800,3,2795.0,6h ago,crown heights
🌟Prospect Heights 3 Bed 1.5 Bath! $3650!,3,3650.0,6h ago,other
“LOW FEE” MINT 3BR-SPACIOUS LIVING RM-QN SZ BRS-SS-DW-AC-UNION SQ PARK,3,4850.0,6h ago,other
1 Bedroom Apartment Wakefield Area,1,1650.0,6h ago,other
"Prewar 2BR, Elevator/Laundry; Shares/Couple; Kensington Prospect Park",2,2500.0,6h ago,other
2 Bedroom Rental in Elmont - Must See,2,2900.0,6h ago,other
Valley Stream 2 bedroom apt for a single or couple,2,1500.0,6h ago,other
$1600 sudio apartment all utlities included,1,1600.0,6h ago,other
Yonkers 1 Bedroom Apartment Ludlow Area,1,1400.0,6h ago,other
East Village Apartment for Rent,2,4695.0,6h ago,other
2 BEDROOM SUNSET PARK,2,1850.0,6h ago,other
"Large 2 Bdrm, Dinning area, wood flrs thruout",2,2500.0,6h ago,other
STUDIO APARTMENT,1,1200.0,6h ago,other
**APARTMENT FOR RENT IN FOREST HILLS**,1,1700.0,6h ago,other
**STUNNING 3 BED/ 2 BATH APT IN PLG STEPS FROM PROSPECT PARK*NO FEE**,3,3350.0,6h ago,other
"Large 2 bedrooms apt,quiet area,utilites included!",2,1700.0,6h ago,other
"Luxury 1 BR(800sf),$2118,Hardwd,W/D,Terr,Dwntwn",1,2118.0,6h ago,other
LUXURY 2 BEDROOM**GYM**ELEVATOR**ROOFTOP**LOUNDRY**NO FEE,2,2550.0,6h ago,other
"Harborpoint Special Modern 1 BR,$2100,Hardwd,W/D,Terr,Dwntwn",1,2100.0,6h ago,other
RENOVATED MODERN 2 BEDROOM,2,2200.0,6h ago,brooklyn
"Newly Renovated 2 BR,, Heat & Hot Water Incl,, Walk to Subway & Buses!",2,2150.0,6h ago,other
Massive Luxury 1BD w/ Dining Rm - Tranquil Beekman Pl Location,1,4430.0,6h ago,other
MASSIVE 4 BED 2 BATHROOM___IN UNIT LAUNDRY__NO FEE__BUSHWICK,4,3600.0,6h ago,buschwick
MASSIVE 4 BEDROOM WITH PARKING! NO FEE,4,3200.0,6h ago,brooklyn
FLEX 3 BED 24H DOORMAN BUILDING FIDI NO FEE,3,4300.0,6h ago,financial district
Great renovated 3bd in beautiful crown heights north,3,2795.0,6h ago,brooklyn
Spacious 1 Bed with Kitchen Island!!,1,2500.0,6h ago,crown heights
**STUNNING RENOVATED 4 BED/ 2 BATH APT IN PRIME BUSHWICK*NO FEE**,4,4125.0,6h ago,buschwick
Unreal stunning true 2br steps from Times Squre central but quiet!RARE,2,4250.0,6h ago,other
**Private Backyard!! 2 Bed with Natural Light,2,2500.0,6h ago,brooklyn
**Laundry in Unit** Sunny 3 Bed 2 Bath!!,3,4400.0,6h ago,other
Modern 1 Bedroom Apartment!!,1,2400.0,6h ago,buschwick
Nolita Gem *Renovated* Roof Deck  *Laundry*,1,2950.0,6h ago,other
3 BED AVAILABLE IN CROWN HEIGHTS!! **GYM AND FURNISHED ROOFTOP!!**,3,2850.0,6h ago,crown heights
**LUXURY 2 BED/ 2 BATH APT WITH AMENITIES ADJACENT TO PROSPECT PARK**,2,3500.0,6h ago,other
HUGE 3 BED IN GOWANUS/PARK SLOPE!! **LAUNDRY IN BUILDING**,3,4200.0,6h ago,other
Nicely redone 3 bed/1 bath residence tons of charm Prime Crown Heights,3,3100.0,7h ago,crown heights
Massive 1Bed (can be converted into 2) /2Bath + Terrace in UWS. NO FEE,2,6495.0,7h ago,other
Private 2 Room Suite/ Private Bath,1,1250.0,7h ago,other
MASSIVE 3 BED 2 Bath!! W/D IN UNIT!!,3,3200.0,7h ago,brooklyn
W/D IN UNIT! STUNNING DUPLEX/ OUTDOOR SPACE!,4,3200.0,7h ago,other
DUPLEX IN PRIME LOCATION!!,3,3200.0,7h ago,other
*******High Rise Apartment For Rent in Forest Hills*****************,2,2800.0,7h ago,other
Large Renovated 1BD w/ Spacious Layout - Elegant Prewar Elevator Bldg,1,3460.0,7h ago,other
"1BR in Rye - No Fee, By Owner",1,1900.0,7h ago,other
*Renovated*Large living space*dishwasher*new appliances*,1,3200.0,7h ago,other
Three bed Astoria,3,3300.0,7h ago,other
2 bed Astoria,2,2350.0,7h ago,other
1 bed Astoria,1,1900.0,7h ago,other
Spacious 3 bed 1 bath apt near Maria Hernedez,3,3300.0,7h ago,buschwick
Spacious 1 Bedroom Apartment!! NO FEE Crownheights,1,2300.0,7h ago,crown heights
3 Bed 2 Bath GREAT DEAL,3,2800.0,7h ago,bed stuy
PET OK*RIVERVIEW*HUGE*MINT COND.*CLOSE TO RR/SHOPS,2,2800.0,7h ago,other
2BR Ranch House for Short -Term Rental,2,2800.0,7h ago,other
3 BED 1 BATH//Dishwasher//Laundry in building//NO FEE!!!,3,2795.0,7h ago,crown heights
MASSIVE 4 BED IN BUSHWICK!! SHARED YARD 🌳,4,3799.0,7h ago,brooklyn
BRAND NEW 2 Bed 1.5 Bath Laundry in unit NO FEE,2,3400.0,7h ago,bed stuy
TOP FLOOR=LARGE CLOSETS=MASSIVE SPACE=BRIGHT=HIGH CEILING=FREE GYM,1,2890.0,7h ago,financial district
2 BRs/2 Baths_2 BALCONIES_Elevator_Pet Ok__SUNSET PARK SLOPE GREENWOOD,2,2750.0,7h ago,other
REMARKABLE CONDO FINISHES=TOP FLOOR=NEW CONSTRUCTION=CITY VIEW,4,4900.0,7h ago,financial district
2 BRs/2 Baths_2 BALCONIES_Elevator_Pet Ok____SUNSET PARK INDUSTRY CITY,2,2750.0,7h ago,other
East Village Gem NO FEE,3,6000.0,7h ago,other
No Fee 3bed/1bath in Stuy Heights,3,3250.0,7h ago,brooklyn
No Fee 2bed/1bath $2350,2,2350.0,7h ago,brooklyn
NO FEE! Spacious 2 Bed in Prime Location with 1 Month FREE!,2,3624.0,7h ago,brooklyn
Live the dream life in our gorgeous community! Stop by for a tour!,2,2890.0,7h ago,other
*AMAZING* SUNNY 3 BED 1.5 BATH WITH W/D IN UNIT IN PRIME BUSHWICK!,3,3300.0,7h ago,buschwick
GORGEOUS 3 BED PROSPECT PARK SOUTH!!,3,2850.0,7h ago,other
BEAUTIFUL 3 BEDROOM!! STEAL DEAL!!,3,2750.0,7h ago,other
HOT DEAL!! GORGEOUS 3 BED!!! RENOVATED!!,3,2795.0,7h ago,crown heights
Room C av for rent - last vacancy,4,970.0,8h ago,other
spacious one bedroom available now,1,1550.0,8h ago,other
No fee!- Large 2BR in a Central Williamsburg location!- By the Sway!,2,3300.0,8h ago,other
"$2,25o 2Bed 1Bath w/Rooftop+Elevator+Laundry",2,2.0,8h ago,other
Private House Three Bedroom_Kitchen_Bath_Close to All Transportation,3,2695.0,8h ago,other
42nd st sun drenched 1BR river views of New Jerse,1,4900.0,8h ago,other
HUGE 4 BED 1.5 BATH IN CROWN HEIGHTS! SPACIOUS ROOMS W/ LOTS OF LIGHT,4,2700.0,8h ago,crown heights
MASSIVE 4 BED 1 BATH DUPLEX IN SWEET BUSHWICK LOCATION! NO BROKERS FEE,4,3200.0,8h ago,buschwick
MASSIVE 2 BED 1 BATH W/ PRIVATE YARD IN OCEAN HILL! NO BROKER’S FEE,2,2400.0,8h ago,other
PET OK*2 BATHR.*LAUNDRY*GARAGE*SPACIOUS*EASTCHESTER SCH.*CLOSE TO RR**,2,3150.0,8h ago,other
*ENORMOUS 1 BED 1 BATH W/ OFFICE ROOM IN BUSHWICK FOR A GREAT PRICE!*,1,2500.0,8h ago,buschwick
"*IMMACULATE 3 BED 3 BATH IN CROWN HEIGHTS! LAUNDRY & ROOF, NO FEE!*",3,3150.0,8h ago,crown heights
VERY UNIQUE 3BR APT IN BENSONHURST,3,2800.0,8h ago,brooklyn
"Duplex 2Br, 2 Bath, Bell Blvd, Lirr",2,2450.0,8h ago,other
"Chic urban living at Residences on Bedford! 1 bed, 1 bath available!",1,1975.0,8h ago,other
Make your home with us! Lovely community with great style!,2,3545.0,8h ago,other
"""ULTIMATE APT!"" BEAUTIFUL(LUXURY)4BR/3BA-VIRT DM/ELV/GYM-WD UNIT-SS-DW",4,17500.0,8h ago,other
Large Two Bedroom Apartment_Elevator_Laundry_Close to All,2,2500.0,8h ago,other
3 Bedroom Apt for rent,3,2200.0,8h ago,other
"""ABSOLUTE CLASS"" GORGEOUS GIGANTIC 1BR-DM/ELEV/LNDRY/GYM-DW-CENTRAL PK",1,3800.0,2/7,other
"🌼 Beautiful 2bd/1Bath 🌼Great location, W/D in Building,",2,2500.0,2/7,crown heights
🌼 Beautiful 1bd/1 Bath & Private outdoor Space 🔥 Prime location,1,2850.0,2/7,other
🌼 Beautiful 2bd/1Bath & W/D in Building 🔥 Prime location,2,2800.0,2/7,crown heights
"🌼 Beautiful 5bd/3Bath + Private Roof Deck  🌼Great location,",5,4500.0,2/7,crown heights
"@ 1Fl renovated 3bed/2bath Apt w/i ""All Utilities/ Backyard"" @",3,2600.0,2/7,other
Hells Kitchen 3 Bedroom for A GREAT Price,3,5495.0,2/7,other
Great 1 Bedroom with Elevator,1,2300.0,2/7,other
Luxury 1 Bed | 1 Bath - 1 MONTH FREE,1,2500.0,2/7,other
BRAND NEW 3 BEDROOM 2 BATHROOMS. HASA CITYFHEPS WELCOME,3,3200.0,2/7,other
LARGE NEW 3 BEDROOM 2 BATHROOMS. CityFheps welcome,3,3200.0,2/7,other
"Rarely avail. real 3BR/1bth nr R 46th St pets ok newly reno,3/1/23 mv",3,2899.0,2/7,other
"@ 1Fl renovated 1bed/1bath Apt w/i ""All Utilities"" @",1,1850.0,2/7,other
Luxury 2 Bed | 2 Bath Apartment - 1 MONTH FREE!,2,3050.0,2/7,other
3BR Flex 4BR 1300sft. Pre-War Next To Brower Park,4,3500.0,2/7,crown heights
**Brand new 4 bed/ 2 bath in Prime East Village w/ W/D avail NOW!**,4,7995.0,2/7,other
Luxury 2 Bed | 2 Bath Apartment - 1 MONTH FREE!,2,3050.0,2/7,other
"@ 1Fl new 1bed/1bath Apt w/i ""All Utilities"" in a newly built home @",1,1900.0,2/7,other
"1 bedroom 1 bath fully renovated $1,450",1,1450.0,2/7,other
SUN BLASTED EAST VILL 2 BED DIGS - PRIME LOCATION___A STEAL!,2,3495.0,2/7,other
"3 bedrooms 1 bath fully renovated Staten Island $2,500",3,2500.0,2/7,other
NEW! Rent Stabilized 1BR Apartment in Sunset Park gowanus slope,1,1708.0,2/7,other
BRIGHT NEWLY MINTED CHELSEA 1 BED DIGS - PRIME LOCATION - RARE FIND,1,3495.0,2/7,other
BRIGHT NOLITA CORNER 3 BED STUNNER__PRIME LOCATION!,3,4995.0,2/7,other
DITMAS PARK- - -2-BEDROOMS APARTMENT,2,3000.0,2/7,other
"FIRST FLOOR, 2BDS APARTMENT",2,2300.0,2/7,other
Large real 3 bed flex brownstone steps to train and all must see.,3,3000.0,2/7,crown heights
####### 3 Bedrooms apartment for rent #######,3,2100.0,2/7,other
S. Williamsburg Prewar Renovated 3 Bed 2 Full Bathroom,3,3800.0,2/7,other
Renovated 1 bed** Sunny** Spacious,1,1845.0,2/7,other
Luxurious One Bedroom Condo,1,2650.0,2/7,other
Doorman Luxury Apartment Fully Furnished,1,4850.0,2/7,other
1 BEDROOM TRAVIS NEAR WEST SHORE EXP,1,1600.0,2/7,other
1 bath near C and  J train,2,2999.0,2/6,bed stuy
Spectacular Apartment Available,2,2300.0,2/6,other
Williamsburg Rent Stabilized luxury building w balcony + amenities!,1,3355.0,2/6,other
